,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
246,78328,20150820,Low Risk,103149,0,0,10,0,0,2,6
247,2542,20171208,Moderate Risk,103116,0,8,0,0,0,0,5
248,77185,20161205,Moderate Risk,103131,4,0,0,0,0,0,4
249,78184,20161206,Moderate Risk,103116,0,0,4,0,0,0,3
250,91473,20180227,High Risk,103105,4,0,3,0,0,0,0
251,82361,20150731,Low Risk,103154,0,0,10,0,0,4,11
252,59407,20171207,Moderate Risk,103120,0,4,0,0,0,0,5
253,89686,20180227,Moderate Risk,103120,6,0,0,0,0,0,0
254,34102,20171212,Moderate Risk,103120,0,4,0,0,0,2,3
255,7528,20160518,Moderate Risk,103120,2,0,0,0,0,0,1
256,89599,20161215,Low Risk,103139,0,0,0,0,0,0,3
257,85480,20160629,Moderate Risk,103124,0,3,0,0,0,0,3
258,4542,20160603,Low Risk,103154,0,2,0,0,0,0,3
259,76926,20160607,Moderate Risk,103120,0,0,0,0,0,0,3
260,76544,20160628,High Risk,103105,1,0,0,0,0,0,2
261,10625,20170927,Low Risk,103157,0,0,6,0,0,0,6
262,68831,20160325,Low Risk,103145,0,4,0,0,0,0,2
263,69722,20170104,Low Risk,103145,0,0,0,0,0,0,3
264,275,20151020,Low Risk,103141,1,0,0,0,0,0,2
265,65672,20180226,Low Risk,103149,3,0,4,0,0,0,3
266,71424,20160922,Low Risk,103143,0,0,0,0,0,0,1
267,2050,20171207,Low Risk,103149,0,1,0,0,0,0,2
268,61512,20160628,Moderate Risk,103124,3,0,0,0,0,0,3
269,68768,20160607,Moderate Risk,103124,5,0,6,0,0,0,5
270,4479,20170105,Low Risk,103141,5,0,0,0,0,3,3
271,68454,20160223,Low Risk,103149,0,0,0,0,0,0,7
272,2144,20171212,Low Risk,103154,0,3,0,0,0,0,3
273,502,20161206,Low Risk,103145,0,2,0,0,0,0,1
274,302,20160902,Low Risk,103139,2,0,5,0,0,11,3
275,20116,20160511,Moderate Risk,103124,0,4,0,0,0,0,3
276,5313,20160518,Low Risk,103157,0,2,0,0,0,1,1
277,37639,20171204,Low Risk,103139,0,3,0,0,0,0,2
278,62308,20160203,Moderate Risk,103131,0,4,0,0,0,0,6
279,6619,20170104,Low Risk,103139,0,0,5,0,0,0,9
280,1674,20160429,Moderate Risk,103116,1,0,0,3,0,0,3
281,69799,20160311,Low Risk,103165,0,2,0,0,0,9,5
282,1350,20160518,Moderate Risk,103116,0,0,0,0,0,0,4
283,81077,20170928,Moderate Risk,103131,0,0,2,0,0,0,3
284,78985,20160812,Low Risk,103154,3,0,5,0,0,0,2
285,68865,20160628,Low Risk,103139,0,3,0,0,0,0,7
286,61595,20160413,Moderate Risk,103127,0,0,3,0,0,0,4
287,4702,20180226,Moderate Risk,103131,1,0,0,0,0,0,3
288,16513,20180226,Low Risk,103144,4,0,0,0,0,0,4
289,4920,20160810,Low Risk,103142,0,0,1,0,0,2,2
290,5470,20160814,Low Risk,103154,0,0,0,0,0,1,2
291,60898,20160510,Low Risk,103149,0,0,0,0,0,0,5
292,82009,20160304,Moderate Risk,103124,0,2,0,0,0,0,2
293,79193,20160502,High Risk,103109,0,0,0,1,0,0,2
294,69207,20160412,Low Risk,103149,0,1,0,0,0,0,4
