,Unnamed: 0,Unnamed: 0.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
73,73,101,79296,Puccini & Pinetti,129 Ellis St,San Francisco,CA,94102,,,,,79296_20160127,1/27/2016 0:00,,Complaint,79296_20160127_103139,Improper food storage,Low Risk,20160127,103139,2016-01-27,0,3,0,0,0,2,3
74,74,102,4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523000000001,"(37.765262, -122.41523)",14155867112.0,4907_20170105,1/5/2017 0:00,80.0,Routine - Unscheduled,4907_20170105_103131,Moderate risk vermin infestation,Moderate Risk,20170105,103131,2017-01-05,0,5,0,0,8,0,0
75,75,103,40217,Pizzetta 211,211 23rd Ave,San Francisco,CA,94121,37.783758,-122.48288500000001,"(37.783758, -122.482885)",,40217_20160502,5/2/2016 0:00,88.0,Routine - Unscheduled,40217_20160502_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160502,103124,2016-05-02,0,0,0,0,4,4,0
76,76,104,1632,SWEET CHINITO,3100 MISSION St,San Francisco,CA,94110,37.748164,-122.418241,"(37.748164, -122.418241)",,1632_20160810,8/10/2016 0:00,92.0,Routine - Unscheduled,1632_20160810_103120,Moderate risk food holding temperature,Moderate Risk,20160810,103120,2016-08-10,2,0,2,0,3,3,3
77,77,105,1833,Rogue Ales Public House,673 Union St,San Francisco,CA,94133,37.800253999999995,-122.41044699999999,"(37.800254, -122.410447)",,1833_20160413,4/13/2016 0:00,78.0,Routine - Unscheduled,1833_20160413_103133,Foods not protected from contamination,Moderate Risk,20160413,103133,2016-04-13,0,0,0,6,0,8,0
78,78,107,69282,New Jumbo Seafood Restaurant,1532 NORIEGA St,San Francisco,CA,94122,37.754132,-122.48005800000001,"(37.754132, -122.480058)",14155681800.0,69282_20160413,4/13/2016 0:00,76.0,Routine - Unscheduled,69282_20160413_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,20160413,103119,2016-04-13,0,0,0,0,4,6,0
79,79,108,18805,Terzo,3011 Steiner St,San Francisco,CA,94123,37.797144,-122.437224,"(37.797144, -122.437224)",,18805_20160607,6/7/2016 0:00,94.0,Routine - Unscheduled,18805_20160607_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160607,103154,2016-06-07,1,0,0,0,0,2,0
80,80,110,77778,Thai Thai Noodle 2,1400 California St,San Francisco,CA,94109,,,,,77778_20160502,5/2/2016 0:00,81.0,Routine - Unscheduled,77778_20160502_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,20160502,103116,2016-05-02,3,0,6,0,5,4,0
81,81,111,75259,The Battery - Prep Kitchen,717 Battery St Basement,San Francisco,CA,94111,,,,,75259_20160325,3/25/2016 0:00,91.0,Routine - Unscheduled,75259_20160325_103105,Improper cooling methods,High Risk,20160325,103105,2016-03-25,0,0,0,1,1,0,2
82,82,112,76526,Stones Throw,1896 Hyde St,San Francisco,CA,94109,,,,,76526_20180227,2/27/2018 0:00,88.0,Routine - Unscheduled,76526_20180227_103120,Moderate risk food holding temperature,Moderate Risk,20180227,103120,2018-02-27,3,0,0,0,0,0,2
83,83,113,87510,Oyogu Sushi,4036 Balboa St,San Francisco,CA,94121,,,,14155389800.0,87510_20160513,5/13/2016 0:00,92.0,Routine - Unscheduled,87510_20160513_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20160513,103144,2016-05-13,0,0,2,0,0,3,0
